,esn,wash_date_gp,wash_type,source_type_gp,engine_family_gp
353,598722,2020-07-21,WW,FDM,LEAP-1A
354,599580,2020-08-25,WW,FDM,LEAP
355,956707,2020-08-29,FW,FOAMCART,GENX
356,962577,2020-03-18,WW,FDM,CFM56
357,962944,2020-06-17,WW,FDM,CFM56
358,598532,2020-08-22,WW,FDM,LEAP
359,598804,2020-08-07,WW,FDM,LEAP
360,902897,2020-08-22,WW,RDO,CF34
361,907555,2020-08-21,WW,FDM,GE90
362,960107,2020-07-12,WW,FDM,CFM56
363,598502,2020-08-12,WW,RDO,LEAP
364,733301,2020-08-21,WW,FDM,CFM56
365,874119,2020-08-26,WW,RDO,CFM56
366,960678,2020-08-20,WW,FDM,CFM56
367,660858,2020-03-27,WW,FDM,CFM56
368,804254,2020-03-10,WW,FDM,CFM56
369,902367,2020-09-02,WW,RDO,CF34
370,862644,2020-08-22,WW,RDO,CFM56-7B
371,956417,2015-11-09,WW,RDO,GENX
372,569159,2020-08-27,WW,FDM,CFM56
373,802282,2020-08-25,WW,RDO,CFM56
374,657346,2020-07-13,WW,FDM,CFM56
375,704618,2020-05-27,WW,FDM,CF6
376,706853,2020-08-03,WW,FDM,CF6
377,811455,2020-06-04,WW,RDO,CF6
378,577411,2020-08-27,WW,RDO,CFM56
379,598467,2020-08-14,WW,FDM,LEAP
380,706785,2020-03-31,WW,FDM,CF6
381,804532,2020-06-16,WW,FDM,CFM56
382,907832,2020-08-19,WW,FDM,GE90
383,039997,2020-08-24,WW,RDO,CFM56-7B
384,643765,2020-07-07,WW,FDM,CFM56
385,645680,2020-08-10,WW,FDM,CFM56
386,658110,2020-03-11,WW,FDM,CFM56
387,706320,2020-08-24,WW,RDO,CF6
388,706856,2020-01-26,WW,FDM,CF6
389,862218,2020-07-30,WW,FDM,CFM56-7B
390,901286,2020-08-26,WW,FDM,GE90
391,699982,2020-07-17,WW,FDM,CFM56
392,706722,2020-08-27,WW,RDO,CF6
393,569158,2020-08-26,WW,FDM,CFM56
394,598584,2020-08-24,WW,FDM,LEAP
395,645736,2020-06-27,WW,FDM,CFM56
396,864236,2020-08-18,WW,RDO,CFM56
397,658828,2020-03-17,WW,FDM,CFM56
398,958153,2020-02-29,WW,FDM,GENX
399,960703,2020-08-30,WW,RDO,CFM56-7B
400,660601,2020-08-26,WW,RDO,CFM56
401,901107,2020-08-27,WW,RDO,GE90
402,962962,2020-02-10,WW,FDM,CFM56
403,598131,2020-08-23,WW,FDM,LEAP
404,729259,2020-08-21,WW,FDM,CFM56
405,958409,2020-02-22,WW,FDM,GENX
406,577418,2020-07-10,WW,FDM,CFM56
407,598171,2020-08-18,WW,FDM,LEAP
408,599088,2020-08-09,WW,FDM,LEAP
409,699572,2020-08-24,WW,FDM,CFM56
410,958296,2020-07-30,WW,FDM,GENX
411,658519,2020-03-18,WW,FDM,CFM56
412,706974,2014-05-05,WW,FDM,CF6
413,707155,2020-08-24,WW,RDO,CF6-80C
414,906306,2020-08-31,WW,RDO,GE90
415,962949,2020-06-17,WW,FDM,CFM56
416,598365,2020-08-20,WW,FDM,LEAP
417,658332,2020-03-16,WW,FDM,CFM56
418,862651,2020-08-25,WW,RDO,CFM56
419,864363,2020-08-25,WW,RDO,CFM56
420,994404,2020-07-19,WW,FDM,CF34
421,193604,2020-07-22,WW,FDM,CF34
422,804760,2020-05-04,WW,FDM,CFM56
423,873620,2020-08-20,WW,RDO,CF34
424,896943,2020-08-23,WW,FDM,CFM56
425,706800,2020-08-28,WW,RDO,CF6
426,706824,2020-07-23,WW,FDM,CF6
427,706913,2020-08-28,WW,FDM,CF6
428,958342,2020-01-17,WW,FDM,GENX
429,963967,2020-07-03,WW,FDM,CFM56
430,661533,2020-03-13,WW,FDM,CFM56
431,706821,2020-05-14,WW,FDM,CF6
432,849178,2020-08-13,WW,FDM,CFM56
433,960848,2020-06-23,WW,FDM,CFM56
434,994262,2020-07-18,WW,FDM,CF34
435,660876,2020-07-11,WW,FDM,CFM56
436,706855,2020-06-25,WW,FDM,CF6
437,862546,2020-08-24,WW,RDO,CFM56
438,779371,2020-08-24,WW,RDO,CFM56
439,864269,2020-08-27,WW,RDO,CFM56
440,994262,2020-08-22,WW,FDM,CF34
441,994409,2020-07-25,WW,FDM,CF34
442,599240,2020-08-29,WW,FDM,LEAP
443,896971,2020-07-10,WW,FDM,CFM56
444,956402,2020-04-28,WW,FDM,GENX
445,902848,2020-08-26,WW,RDO,CF34
446,960341,2020-03-23,WW,FDM,CFM56
447,963350,2020-05-12,WW,FDM,CFM56
448,193787,2020-08-24,WW,RDO,CF34-8E
449,645677,2020-08-10,WW,FDM,CFM56
450,657803,2020-03-25,WW,FDM,CFM56
451,864349,2020-08-25,WW,RDO,CFM56
452,854173,2020-08-24,WW,RDO,CFM56-7B
453,960962,2020-08-09,WW,FDM,CFM56
454,195190,2020-08-31,WW,RDO,CF34-8C
455,598233,2020-08-07,WW,FDM,LEAP
456,960578,2020-03-30,WW,FDM,CFM56
457,960707,2020-08-30,WW,RDO,CFM56-7B
458,962969,2020-08-31,WW,RDO,CFM56-7B
459,598403,2020-08-11,WW,FDM,LEAP
460,958140,2020-02-06,WW,FDM,GENX
461,643711,2020-06-30,WW,FDM,CFM56
462,958361,2020-02-24,WW,FDM,GENX
463,598440,2020-08-27,WW,FDM,LEAP
464,599009,2020-08-23,WW,FDM,LEAP
465,643831,2020-07-14,WW,FDM,CFM56
466,660184,2020-07-24,WW,FDM,CFM56
467,598599,2020-07-20,WW,FDM,LEAP
468,712728,2020-09-02,WW,RDO,CFM56
469,599542,2020-06-17,WW,FDM,LEAP
470,658249,2020-03-18,WW,FDM,CFM56
471,962893,2020-07-05,WW,FDM,CFM56
472,661309,2020-08-25,WW,RDO,CFM56
473,906855,2020-09-01,WW,FDM,GE90
474,962605,2020-08-27,WW,RDO,CFM56-7B
475,994959,2020-05-21,WW,FDM,CF34-10E
476,729197,2020-08-25,WW,FDM,CFM56
477,804552,2020-06-16,WW,FDM,CFM56
478,902364,2020-08-30,WW,RDO,CF34
479,038868,2020-07-03,WW,FDM,CFM56
480,599129,2020-08-17,WW,FDM,LEAP
481,660266,2020-03-23,WW,FDM,CFM56
482,729937,2020-08-21,WW,FDM,CFM56
483,864456,2020-08-24,WW,RDO,CFM56
484,962604,2020-08-27,WW,RDO,CFM56-7B
485,657742,2020-03-05,WW,FDM,CFM56
486,994372,2020-03-14,WW,FDM,CF34
487,599442,2020-08-16,WW,FDM,LEAP
488,707148,2020-08-21,WW,RDO,CF6
