,esn,wash_date_gp,wash_type,source_type_gp,engine_family_gp
196,856298,2020-07-31,WW,RDO,CFM56
197,890408,2020-02-06,WW,RDO,CFM56
198,038766,2020-07-23,WW,FDM,CFM56
199,577284,2020-03-11,WW,FDM,CFM56
200,598401,2020-08-21,WW,FDM,LEAP
201,661769,2020-03-27,WW,FDM,CFM56
202,962503,2020-03-25,WW,FDM,CFM56
203,599436,2020-08-12,WW,RDO,LEAP
204,660240,2020-04-02,WW,FDM,CFM56
205,573225,2020-07-21,WW,FDM,CFM56
206,599465,2020-08-13,WW,RDO,LEAP
207,645168,2020-08-20,WW,FDM,CFM56
208,658667,2020-04-20,WW,FDM,CFM56
209,704677,2020-08-26,WW,RDO,CF6
210,854532,2020-07-19,WW,FDM,CFM56
211,956395,2020-08-29,FW,FOAMCART,GENX
212,038875,2020-08-16,WW,FDM,CFM56
213,598694,2020-08-21,WW,FDM,LEAP
214,891140,2020-02-06,WW,RDO,CFM56
215,960109,2020-08-06,WW,FDM,CFM56
216,994550,2020-08-23,WW,FDM,CF34
217,804497,2020-08-27,WW,RDO,CFM56-7B
218,901493,2020-08-29,WW,FDM,GE90
219,577417,2020-07-10,WW,FDM,CFM56
