,esn,wash_date,wash_type,source_type,engine_family
1779,897697,2012-02-01,WW,RDO,CFM56
1780,897697,2012-06-01,WW,RDO,CFM56
1781,897697,2012-10-11,WW,RDO,CFM56
1782,897697,2013-02-04,WW,RDO,CFM56
1783,897697,2013-06-04,WW,RDO,CFM56
1784,897697,2013-10-05,WW,RDO,CFM56
1785,897697,2014-02-15,WW,RDO,CFM56
1786,897697,2014-06-25,WW,RDO,CFM56
1787,897697,2014-11-03,WW,RDO,CFM56
1788,897697,2015-03-10,WW,RDO,CFM56
1789,897697,2015-04-14,WW,RDO,CFM56
1790,897697,2015-08-03,WW,RDO,CFM56
1791,897697,2016-07-06,WW,RDO,CFM56
1792,897697,2016-11-14,WW,RDO,CFM56
1793,956659,2016-12-11,WW,RDO,GENX
1794,704480,2013-07-14,WW,RDO,CF6
1795,704151,2011-03-19,WW,RDO,CF6
1796,575793,2011-03-15,WW,RDO,CFM56
1797,643836,2015-05-20,WW,FDM,CFM56
1798,193910,2014-01-12,WW,RDO,CF34
1799,193910,2014-09-01,WW,RDO,CF34
1800,660930,2015-08-22,WW,RDO,CFM56
1801,575280,2013-05-06,WW,RDO,CFM56
1802,575530,2011-03-11,WW,RDO,CFM56
1803,575530,2011-06-21,WW,RDO,CFM56
1804,567117,2013-11-08,WW,RDO,CFM56
1805,706925,2010-11-26,WW,RDO,CF6
1806,706925,2012-03-10,WW,RDO,CF6
1807,706925,2016-11-21,WW,RDO,CF6
1808,706925,2017-03-08,WW,RDO,CF6
1809,706925,2018-04-17,WW,RDO,CF6
1810,802461,2011-04-14,WW,RDO,CFM56
1811,802461,2012-05-18,WW,RDO,CFM56
1812,802461,2012-11-22,WW,RDO,CFM56
1813,802461,2013-12-10,WW,RDO,CFM56
1814,802461,2014-06-07,WW,RDO,CFM56
1815,802461,2014-12-05,WW,RDO,CFM56
1816,802461,2015-03-17,WW,RDO,CFM56
1817,643578,2012-04-21,WW,RDO,CFM56
1818,643578,2013-04-26,WW,RDO,CFM56
1819,804902,2014-08-23,WW,RDO,CFM56
1820,805967,2011-12-25,WW,RDO,CFM56
1821,805967,2012-06-30,WW,RDO,CFM56
1822,805967,2013-01-05,WW,RDO,CFM56
1823,805967,2014-01-28,WW,RDO,CFM56
1824,805967,2014-04-13,WW,RDO,CFM56
1825,805967,2014-06-30,WW,RDO,CFM56
1826,805967,2014-09-09,WW,RDO,CFM56
1827,805967,2014-11-25,WW,RDO,CFM56
1828,805967,2015-05-22,WW,RDO,CFM56
1829,805967,2016-07-21,WW,RDO,CFM56
1830,805967,2016-11-12,WW,RDO,CFM56
1831,660350,2018-04-20,WW,RDO,CFM56
1832,702720,2011-06-04,WW,RDO,CF6
1833,702720,2012-11-03,WW,RDO,CF6
1834,702720,2017-01-29,WW,RDO,CF6
1835,702720,2018-03-23,WW,RDO,CF6
1836,660350,2016-05-02,WW,RDO,CFM56
1837,660350,2016-07-29,WW,RDO,CFM56
1838,660350,2016-11-20,WW,RDO,CFM56
1839,706729,2016-04-22,WW,RDO,CF6
1840,706729,2016-10-04,WW,RDO,CF6
1841,706729,2017-08-22,WW,RDO,CF6
1842,706729,2018-04-26,WW,RDO,CF6
1843,706991,2011-05-07,WW,RDO,CF6
1844,706991,2013-04-06,WW,RDO,CF6
1845,706991,2014-08-05,WW,RDO,CF6
1846,706991,2016-09-18,WW,RDO,CF6
1847,706991,2017-01-17,WW,RDO,CF6
1848,706991,2017-06-24,WW,RDO,CF6
1849,706991,2017-11-08,WW,RDO,CF6
1850,706991,2018-02-28,WW,RDO,CF6
1851,876603,2011-01-13,WW,RDO,CFM56
1852,876603,2011-09-01,WW,RDO,CFM56
1853,876603,2012-03-22,WW,RDO,CFM56
1854,876603,2012-11-05,WW,RDO,CFM56
1855,876603,2013-05-22,WW,RDO,CFM56
1856,804425,2011-04-03,WW,RDO,CFM56
1857,804425,2011-10-07,WW,RDO,CFM56
1858,804425,2012-10-18,WW,RDO,CFM56
1859,804425,2013-05-10,WW,RDO,CFM56
1860,804425,2013-11-11,WW,RDO,CFM56
1861,804425,2014-03-03,WW,RDO,CFM56
1862,804425,2014-06-21,WW,RDO,CFM56
1863,804425,2014-12-23,WW,RDO,CFM56
1864,804425,2015-04-03,WW,RDO,CFM56
1865,804425,2016-07-05,WW,RDO,CFM56
1866,804425,2016-10-25,WW,RDO,CFM56
1867,894195,2011-05-31,WW,RDO,CFM56
1868,894195,2012-03-10,WW,RDO,CFM56
1869,894195,2012-09-25,WW,RDO,CFM56
1870,894195,2013-04-20,WW,RDO,CFM56
1871,894195,2013-08-20,WW,RDO,CFM56
1872,894195,2014-03-28,WW,RDO,CFM56
1873,894195,2014-09-23,WW,RDO,CFM56
1874,894195,2016-09-10,WW,RDO,CFM56
1875,894195,2016-11-07,WW,RDO,CFM56
1876,858827,2010-09-01,WW,RDO,CFM56
1877,858827,2012-05-18,WW,RDO,CFM56
1878,858827,2016-08-10,WW,RDO,CFM56
1879,858827,2016-12-05,WW,RDO,CFM56
1880,858827,2017-06-25,WW,RDO,CFM56
1881,706867,2010-08-22,WW,RDO,CF6
1882,741640,2009-10-13,WW,RDO,CFM56
1883,741640,2009-12-06,WW,RDO,CFM56
1884,741640,2010-02-08,WW,RDO,CFM56
1885,741640,2010-04-15,WW,RDO,CFM56
1886,741640,2010-06-16,WW,RDO,CFM56
1887,741640,2010-08-16,WW,RDO,CFM56
1888,741640,2010-10-23,WW,RDO,CFM56
1889,741640,2010-12-07,WW,RDO,CFM56
1890,741640,2011-02-17,WW,RDO,CFM56
1891,741640,2011-04-16,WW,RDO,CFM56
1892,741640,2011-06-08,WW,RDO,CFM56
1893,741640,2011-07-31,WW,RDO,CFM56
1894,741640,2012-06-15,WW,RDO,CFM56
1895,874705,2010-09-11,WW,RDO,CFM56
1896,874705,2011-09-27,WW,RDO,CFM56
1897,785594,2010-11-04,WW,RDO,CT7
1898,785594,2010-12-04,WW,RDO,CT7
1899,785594,2011-09-04,WW,RDO,CT7
1900,785594,2011-09-22,WW,RDO,CT7
1901,785594,2011-12-10,WW,RDO,CT7
1902,785594,2012-02-19,WW,RDO,CT7
1903,785594,2013-12-08,WW,RDO,CT7
1904,785594,2014-01-04,WW,RDO,CT7
1905,785594,2014-12-15,WW,RDO,CT7
1906,785594,2015-07-27,WW,RDO,CT7
1907,959298,2015-03-03,WW,RDO,GENX
1908,960786,2012-11-12,WW,RDO,CFM56
1909,960786,2013-06-11,WW,RDO,CFM56
1910,960786,2013-12-14,WW,RDO,CFM56
1911,960786,2014-07-06,WW,RDO,CFM56
1912,960786,2016-05-23,WW,RDO,CFM56
1913,960786,2016-09-26,WW,RDO,CFM56
1914,896885,2012-06-24,WW,RDO,CFM56
1915,894564,2017-02-05,WW,RDO,CFM56
1916,894564,2017-11-13,WW,RDO,CFM56
1917,697114,2011-02-28,WW,RDO,CFM56
1918,193715,2010-11-15,WW,RDO,CF34
1919,697601,2015-02-12,WW,RDO,CFM56
1920,699919,2011-03-12,WW,RDO,CFM56
1921,699919,2011-06-20,WW,RDO,CFM56
1922,193715,2011-07-25,WW,RDO,CF34
1923,193715,2011-10-30,WW,RDO,CF34
1924,193715,2012-02-06,WW,RDO,CF34
1925,193715,2012-07-23,WW,RDO,CF34
1926,193715,2014-08-31,WW,RDO,CF34
1927,193715,2014-12-22,WW,RDO,CF34
1928,569931,2016-06-18,WW,RDO,CFM56
1929,569931,2016-10-27,WW,RDO,CFM56
1930,779487,2011-03-24,WW,RDO,CFM56
1931,802633,2015-11-06,WW,RDO,CFM56
1932,802633,2016-07-30,WW,RDO,CFM56
1933,802633,2016-10-30,WW,RDO,CFM56
1934,802633,2017-06-21,WW,RDO,CFM56
1935,802633,2017-09-03,WW,RDO,CFM56
1936,703133,2016-12-05,WW,RDO,CF6
1937,811179,2014-09-14,WW,RDO,CF6
1938,860144,2016-04-26,WW,RDO,CFM56
1939,860144,2016-09-17,WW,RDO,CFM56
1940,860144,2017-08-08,WW,RDO,CFM56
1941,860144,2018-01-16,WW,RDO,CFM56
1942,643973,2013-07-24,WW,RDO,CFM56
1943,657120,2014-02-16,WW,RDO,CFM56
1944,657120,2014-08-19,WW,RDO,CFM56
1945,657120,2016-06-17,WW,RDO,CFM56
1946,657120,2016-09-30,WW,RDO,CFM56
