,esn,wash_date,wash_type,source_type,engine_family
134,785510,2009-09-14,WW,RDO,CT7
135,892406,2012-04-17,WW,RDO,CFM56
136,785596,2012-07-09,WW,RDO,CT7
137,896695,2011-01-20,WW,RDO,CFM56
138,731835,2012-05-17,WW,RDO,CFM56
139,577751,2008-03-25,WW,RDO,CFM56
140,872834,2012-11-08,WW,RDO,CF34
141,695151,2012-11-03,WW,RDO,CF6
142,695661,2012-11-08,WW,RDO,CF6
143,661162,2016-06-08,WW,RDO,CFM56
144,731711,2011-08-26,WW,RDO,CFM56
145,785513,2012-07-17,WW,RDO,CT7
146,785420,2010-07-31,WW,RDO,CT7
147,892668,2017-05-28,WW,RDO,CFM56
148,704614,2011-12-04,WW,RDO,CF6
149,906375,2017-02-15,WW,RDO,GE90
150,892959,2013-03-07,WW,RDO,CFM56
151,697457,2009-10-24,WW,RDO,CFM56
152,962500,2013-07-30,WW,RDO,CFM56-7B
153,889397,2011-12-24,WW,RDO,CFM56
154,804942,2013-12-24,WW,RDO,CFM56
155,702566,2012-12-09,WW,RDO,CF6
156,892499,2012-07-08,WW,RDO,CFM56
157,894195,2014-09-22,WW,RDO,CFM56
158,874292,2012-02-09,WW,RDO,CFM56
159,890249,2013-10-02,WW,RDO,CFM56
160,731404,2014-11-28,WW,RDO,CFM56
161,193327,2011-11-15,WW,RDO,CF34
162,906271,2016-11-04,WW,RDO,GE90
163,785732,2014-11-01,WW,RDO,CT7
164,890430,2012-12-24,WW,RDO,CFM56
165,785148,2012-02-18,WW,RDO,CT7
166,779350,2010-06-03,WW,RDO,CFM56
167,785425,2010-02-03,WW,RDO,CT7
168,802427,2017-01-30,WW,RDO,CFM56
169,785794,2015-07-06,WW,RDO,CT7
170,860157,2016-12-10,WW,RDO,CFM56
171,906795,2017-01-26,WW,RDO,GE90
172,858823,2012-02-01,WW,RDO,CFM56
173,874705,2010-09-10,WW,RDO,CFM56
174,811120,2009-03-02,WW,RDO,CF6
175,706359,2017-07-01,WW,RDO,CF6
176,785461,2011-01-30,WW,RDO,CT7
177,706407,2014-09-07,WW,RDO,CF6
178,785425,2009-11-09,WW,RDO,CT7
179,573233,2016-07-24,WW,RDO,CFM56
180,731436,2018-04-04,WW,RDO,CFM56
181,785416,2014-11-20,WW,RDO,CT7
182,741640,2010-04-14,WW,RDO,CFM56
183,892700,2011-07-14,WW,RDO,CFM56
184,874274,2014-09-04,WW,RDO,CFM56
185,811118,2008-03-12,WW,RDO,CF6
186,785577,2015-06-03,WW,RDO,CT7
187,897697,2014-06-24,WW,RDO,CFM56
188,785458,2011-12-12,WW,RDO,CT7
189,874311,2015-06-14,WW,RDO,CFM56
190,785577,2012-04-20,WW,RDO,CT7
191,697457,2011-11-10,WW,RDO,CFM56
192,699743,2011-03-04,WW,RDO,CFM56
193,706487,2014-08-04,WW,RDO,CF6
194,702291,2013-11-16,WW,RDO,CF6
195,706859,2014-08-04,WW,RDO,CF6
196,897922,2012-04-24,WW,RDO,CFM56
197,785732,2014-12-07,WW,RDO,CT7
198,785794,2014-07-24,WW,RDO,CT7
199,785795,2015-01-01,WW,RDO,CT7
200,894626,2013-07-04,WW,RDO,CFM56
201,785595,2011-12-15,WW,RDO,CT7
202,894121,2016-07-20,WW,RDO,CFM56
203,193604,2020-07-22,WW,FDM,CF34
204,894830,2014-11-16,WW,RDO,CFM56
205,703139,2013-12-13,WW,RDO,CF6
206,785740,2015-04-12,WW,RDO,CT7
207,645769,2014-08-17,WW,RDO,CFM56
208,858205,2016-04-20,WW,RDO,CFM56
209,802647,2020-06-29,WW,FDM,CFM56
210,858963,2012-02-18,WW,RDO,CFM56
211,706498,2017-06-15,WW,RDO,CF6
212,193327,2011-07-26,WW,RDO,CF34
213,858713,2012-01-04,WW,RDO,CFM56
214,811239,2013-06-04,WW,RDO,CF6
215,702743,2016-09-11,WW,RDO,CF6
216,894611,2012-10-20,WW,RDO,CFM56
217,785702,2014-05-31,WW,RDO,CT7
218,962558,2018-04-13,WW,RDO,CFM56
219,858136,2013-06-08,WW,RDO,CFM56
220,785596,2014-01-08,WW,RDO,CT7
221,858889,2014-03-03,WW,RDO,CFM56
222,731712,2013-11-16,WW,RDO,CFM56
223,858823,2012-07-20,WW,RDO,CFM56
224,741590,2010-09-22,WW,RDO,CFM56
225,892940,2016-11-13,WW,RDO,CFM56
226,785587,2014-12-13,WW,RDO,CT7
227,706811,2010-06-11,WW,RDO,CF6
228,888951,2013-01-29,WW,RDO,CFM56
229,661294,2016-10-30,WW,RDO,CFM56
230,569930,2016-10-26,WW,RDO,CFM56
231,731919,2013-02-24,WW,RDO,CFM56
232,699259,2011-03-21,WW,RDO,CFM56
233,893698,2010-11-07,WW,RDO,CFM56
234,892286,2011-03-17,WW,RDO,CFM56
235,896797,2013-04-13,WW,RDO,CFM56
236,785731,2014-11-09,WW,RDO,CT7
237,956505,2016-11-04,WW,RDO,GENX
238,965467,2012-05-12,WW,RDO,CF34
239,858676,2014-10-20,WW,RDO,CFM56
240,994789,2020-07-20,WW,FDM,CF34
241,785380,2015-06-08,WW,RDO,CT7
242,785702,2015-07-16,WW,RDO,CT7
243,858945,2012-02-25,WW,RDO,CFM56
244,858415,2013-04-14,WW,RDO,CFM56
245,785594,2011-12-09,WW,RDO,CT7
246,960559,2013-03-10,WW,RDO,CFM56
247,690233,2017-08-16,WW,RDO,CF6
248,785732,2010-12-20,WW,RDO,CT7
249,858945,2011-02-26,WW,RDO,CFM56
250,875348,2013-08-07,WW,RDO,CFM56
251,785702,2012-04-04,WW,RDO,CT7
252,706486,2017-01-11,WW,RDO,CF6
253,785795,2015-04-14,WW,RDO,CT7
254,894556,2014-02-23,WW,RDO,CFM56
255,906722,2016-12-04,WW,RDO,GE90
256,804942,2016-03-16,WW,RDO,CFM56
257,876604,2012-03-01,WW,RDO,CFM56
258,643317,2013-04-11,WW,RDO,CFM56
259,702961,2016-12-30,WW,RDO,CF6
260,876603,2012-03-21,WW,RDO,CFM56
261,785562,2014-12-09,WW,RDO,CT7
262,860227,2011-11-29,WW,RDO,CFM56
263,575531,2011-03-10,WW,RDO,CFM56
264,892177,2014-05-12,WW,RDO,CFM56
265,706719,2010-04-12,WW,RDO,CF6
266,704827,2011-03-18,WW,RDO,CF6
267,785594,2014-12-14,WW,RDO,CT7
